task,count,pct,ai_autonomy_mean,ai_autonomy_median,ai_education_years_mean,human_education_years_mean,human_only_time_mean,human_with_ai_time_mean
"research the history of a particular country or region, or of a specific time period.",86.0000,0.0086,3.4651,4.0000,10.3140,9.3256,2.6056,9.9244
"research use of bacteria and microorganisms to develop vitamins, antibiotics, amino acids, grain alcohol, sugars, and polymers.",19.0000,0.0019,3.9474,4.0000,15.0526,15.0000,4.2711,13.4211
"research, compile, analyze and organize information from maps, reports, investigations, and books for use in reports and special projects.",1032.0000,0.1032,3.4012,4.0000,13.4079,13.0833,5.2960,11.2427
"research, compile, and prepare reports, manuals, correspondence, or other information required by management or governmental agencies.",117.0000,0.0117,3.3162,3.0000,14.6410,14.4872,4.5438,10.0598
"research, design, evaluate, install, operate, or maintain mechanical products, equipment, systems or processes to meet requirements.",15.0000,0.0015,3.6000,4.0000,12.2667,11.7333,4.1367,11.1333
"research, document, rate, or select alternatives for web architecture or technologies.",68.0000,0.0068,3.5147,4.0000,14.3088,14.1176,4.4838,9.7132
"research, evaluate, and prepare recommendations on curricula, instructional methods, and materials for school systems.",111.0000,0.0111,3.4505,4.0000,13.1712,13.7207,4.4815,13.1081
"research, select, or apply sensors, communication technologies, or control devices for motion control, position sensing, pressure sensing, or electronic communication.",34.0000,0.0034,3.8235,4.0000,13.1471,12.8235,3.8294,18.8235
"resolve any problems with itineraries, service, or accommodations.",18.0000,0.0018,3.3889,3.5000,10.1667,10.0000,0.6628,8.3889
resolve customer complaints or answer customers' questions regarding policies and procedures.,106.0000,0.0106,3.2547,3.0000,10.0755,9.3679,1.0369,12.3443
resolve customer complaints regarding sales and service.,145.0000,0.0145,2.9793,3.0000,10.6000,10.2069,1.2179,13.3414
resolve customer complaints regarding worker performance or services rendered.,31.0000,0.0031,3.0323,3.0000,10.5806,10.1290,1.0710,10.1774
resolve customer complaints.,15.0000,0.0015,3.4667,4.0000,9.9333,9.7333,1.0467,12.4667
resolve customer or employee complaints.,20.0000,0.0020,3.4500,4.0000,8.9000,8.4000,0.7115,12.9500
"resolve customers' service or billing complaints by performing activities such as exchanging merchandise, refunding money, or adjusting bills.",77.0000,0.0077,3.0779,3.0000,10.0909,10.0000,0.8744,13.2857
resolve discrepancies in accounting records.,137.0000,0.0137,3.1168,3.0000,13.9124,14.1971,3.0743,19.1022
"resolve problems concerning transportation, logistics systems, imports or exports, or customer issues.",35.0000,0.0035,3.0857,3.0000,12.2857,12.1143,2.8557,15.6857
resolve questions or problems with customs officials.,25.0000,0.0025,3.3600,3.0000,11.4000,10.7200,1.5620,9.9000
"respond to customer complaints, legal inquiries, payment negotiations, or other post-service matters.",41.0000,0.0041,3.3659,3.0000,10.7805,10.2683,1.1476,18.8415
"respond to customer complaints, taking action as necessary.",77.0000,0.0077,3.2468,3.0000,10.1169,9.4805,1.0210,10.6429
respond to customer inquiries or complaints.,3001.0000,0.3001,3.1893,3.0000,8.4742,8.1430,0.4869,5.2319
respond to customers' or shippers' questions and complaints regarding storage and distribution services.,68.0000,0.0068,3.2647,3.0000,8.4118,7.4706,0.5053,5.6103
respond to general inquiries or requests from the public.,1237.0000,0.1237,2.9272,3.0000,7.6006,6.9846,0.2468,1.9407
"respond to passengers' questions, requests, or complaints.",20.0000,0.0020,3.1000,3.0000,9.5000,9.7000,0.6775,6.6500
respond to program error messages by finding and correcting problems or terminating the program.,648.0000,0.0648,3.4614,4.0000,14.3117,14.4059,1.5782,13.4020
respond to public inquiries and complaints.,85.0000,0.0085,3.2000,3.0000,8.2235,7.5765,0.4453,4.3676
respond to public suggestions and complaints.,19.0000,0.0019,3.7368,4.0000,9.4211,9.5789,0.7316,8.7368
"respond to questions and inquiries, such as those concerning service charges and capacity fees, or refer them to supervisors.",71.0000,0.0071,2.9296,3.0000,8.4930,8.1127,0.3896,2.5634
respond to requests for information from the media or designate an appropriate spokesperson or information source.,99.0000,0.0099,3.1212,3.0000,11.4343,11.8586,1.0490,8.1364
"respond to requests for information from the public, other municipalities, state officials, or state and federal legislative offices.",80.0000,0.0080,2.7375,3.0000,9.7750,10.2125,0.8462,4.7781
"respond to user email inquiries, or set up automated systems to send responses.",118.0000,0.0118,3.1949,3.0000,8.5508,8.0847,0.3152,5.2564
retrieve information from central databases for storage in a library's computer.,224.0000,0.0224,2.9464,3.0000,12.0714,11.9955,1.0986,6.9375
"retrieve patient medical records for physicians, technicians, or other medical personnel.",54.0000,0.0054,2.9444,3.0000,10.8704,10.6481,0.8669,6.4630
"retrieve, separate and sort program output as needed, and send data to specified users.",204.0000,0.0204,3.0833,3.0000,12.4706,12.6324,1.0825,8.3627
return assignments to students in accordance with established deadlines.,16.0000,0.0016,2.6250,2.0000,10.8750,11.6875,1.3125,8.3438
"review advertising trends, consumer surveys, and other data regarding marketing of goods and services to determine the best way to promote products.",23.0000,0.0023,3.4783,4.0000,11.9565,12.0000,2.3513,14.1739
"review all regulatory agency submission materials to ensure timeliness, accuracy, comprehensiveness, or compliance with regulatory standards.",46.0000,0.0046,3.3478,4.0000,15.9130,15.6087,4.4163,17.1304
review all securities transactions to ensure accuracy of information and conformance to governing agency regulations.,22.0000,0.0022,3.0455,3.0000,14.7727,15.3636,2.3091,9.0909
"review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",3412.0000,0.3412,3.4361,4.0000,14.2307,14.3162,2.0702,15.0284
"review and analyze new, proposed, or revised laws, regulations, policies, and procedures to interpret their meaning and determine their impact.",559.0000,0.0559,3.1574,3.0000,14.1717,13.9982,3.8974,12.9392
review and approve proofs submitted by composing room prior to publication production.,500.0000,0.0500,3.6160,4.0000,12.4520,12.0460,4.3589,23.1180
"review and edit transcribed reports or dictated material for spelling, grammar, clarity, consistency, and proper medical terminology.",149.0000,0.0149,3.1141,3.0000,14.5034,14.7181,1.7407,9.7987
"review and evaluate developed x-rays, video tape, or computer-generated information to determine if images are satisfactory for diagnostic purposes.",15.0000,0.0015,3.6000,4.0000,13.4000,11.8667,1.6100,11.7667
"review and evaluate materials, using book reviews, catalogs, faculty recommendations, and current holdings to select and order print, audio-visual, and electronic resources.",20.0000,0.0020,3.8500,4.0000,11.5000,10.3000,2.3000,13.9500
"review and evaluate new and current programs to determine their efficiency, effectiveness, and compliance with state, local, and federal regulations and recommend any necessary modifications.",16.0000,0.0016,3.1250,3.0000,14.1250,14.6250,4.0469,12.8125
"review and interpret plans, blueprints, site layouts, specifications, or construction methods to ensure compliance to legal requirements and safety regulations.",40.0000,0.0040,3.1250,3.0000,14.1750,14.1500,3.5312,16.2500
"review and verify data, such as age, name, address, and principal sum and value of property on insurance applications and policies.",19.0000,0.0019,3.0526,3.0000,12.9474,12.8421,3.6684,15.5789
"review applications for site plans and permits and recommend approval, denial, modification, or further investigative action.",50.0000,0.0050,3.2800,3.5000,14.7200,14.8000,5.4160,13.5200
review assembled films or edited videotapes on screens or monitors to determine if corrections are necessary.,53.0000,0.0053,3.5849,4.0000,9.3962,8.9434,1.5009,13.3774
review billing for accuracy.,64.0000,0.0064,3.0156,3.0000,12.0625,11.9688,1.3302,11.2500
"review blueprints, building codes, or specifications to determine work details or procedures.",53.0000,0.0053,2.7736,3.0000,13.7547,13.9623,3.6000,13.1321
"review blueprints, sketches, or work orders to gather information about tasks to be completed.",51.0000,0.0051,3.4706,4.0000,13.4118,12.9412,4.7275,11.8725
review books and journal articles for potential publication.,91.0000,0.0091,3.7912,4.0000,15.3516,15.2527,3.8335,14.4725
review business trends to advise customers regarding expected fluctuations.,16.0000,0.0016,3.2500,3.0000,11.1250,10.0000,1.4475,3.6406
"review catalogs, industry periodicals, directories, trade journals, and internet sites and consult with other department personnel to locate necessary goods and services.",25.0000,0.0025,3.1600,3.0000,11.8400,11.7600,2.5020,12.2000
"review changes to financial, family, or employment situations to determine whether changes to existing debt management plans, spending plans, or budgets are needed.",88.0000,0.0088,3.1136,3.0000,11.2955,11.2955,2.6775,21.2670
"review class material with students by discussing text, working solutions to problems, or reviewing worksheets or other assignments.",12432.0000,1.2432,3.1306,3.0000,12.1865,12.4327,2.2254,17.4056
"review complaints, petitions, motions, or pleadings that have been filed to determine issues involved or basis for relief.",57.0000,0.0057,3.0702,3.0000,16.0526,15.8596,3.0518,13.7807
review completed construction drawings and cost estimates for accuracy and conformity to standards and regulations.,72.0000,0.0072,3.2083,3.0000,13.7222,13.9861,3.3537,15.0972
"review data about material assets, net worth, liabilities, capital stock, surplus, income, and expenditures.",94.0000,0.0094,3.2128,3.0000,14.0426,14.0745,1.6207,11.7660
"review development plans for transportation system effects, infrastructure requirements, or compliance with applicable transportation regulations.",24.0000,0.0024,3.4583,3.5000,14.5000,14.0417,3.8646,17.0417
"review documents such as purchase orders, sales tickets, charge slips, or hospital records to compute fees or charges due.",87.0000,0.0087,3.0115,3.0000,11.9885,11.7011,1.2610,10.2586
review employment applications and job orders to match applicants with job requirements.,208.0000,0.0208,3.3462,4.0000,13.4423,13.7788,2.2161,12.0553
review existing policies or legislation to identify environmental impacts.,16.0000,0.0016,3.1250,3.0000,14.8125,15.3125,4.2500,17.4375
"review files, records, and other documents to obtain information to respond to requests.",68.0000,0.0068,3.0000,3.0000,13.1324,12.7059,1.9299,7.8162
review final layouts and suggest improvements as needed.,19.0000,0.0019,3.5789,4.0000,11.2105,11.4737,2.1316,14.0526
"review financial periodicals, stock and bond reports, business publications, or other material to identify potential investments for clients or to keep abreast of trends affecting market conditions.",42.0000,0.0042,3.2619,3.0000,12.7619,12.9286,2.7798,4.7262
"review financial statements, sales or activity reports, or other performance data to identify opportunities for cost reductions or service improvements.",98.0000,0.0098,3.3469,4.0000,13.4898,13.8776,3.4573,14.1582
"review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",243.0000,0.0243,3.2634,3.0000,13.4856,13.5062,3.4788,14.4630
review footage sequence by sequence to become familiar with it before assembling it into a final product.,26.0000,0.0026,3.3846,4.0000,11.5385,11.5385,2.9262,14.5385
review grant applications or make funding recommendations.,38.0000,0.0038,3.1842,3.0000,14.4211,14.8421,3.2434,14.9737
"review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.",619.0000,0.0619,3.4491,4.0000,15.3005,15.5848,5.0166,18.3376
review insurance policy terms to determine whether a particular loss is covered by insurance.,110.0000,0.0110,3.0455,3.0000,13.3182,12.9545,2.6257,14.0364
review insurance policy to determine coverage.,145.0000,0.0145,3.1586,3.0000,12.3310,12.0276,1.5760,11.2276
review legal publications and perform database searches to identify laws and court decisions relevant to pending cases.,28.0000,0.0028,2.8214,3.0000,16.2500,16.2143,2.8018,9.6071
"review manufacturer's instructions, manuals, technical specifications, building permits, and ordinances to determine communication equipment requirements and procedures.",23.0000,0.0023,3.5217,4.0000,12.1304,12.3913,2.0783,9.8696
review manuscripts for publication in books and professional journals.,797.0000,0.0797,3.4931,4.0000,16.6951,16.9548,4.7122,21.3325
review materials such as marketing literature or user manuals to ensure that regulatory agency requirements are met.,115.0000,0.0115,3.3913,4.0000,15.1130,15.0783,3.7117,14.6565
"review menus and analyze recipes to determine labor and overhead costs, and assign prices to menu items.",18.0000,0.0018,3.5000,4.0000,10.1667,10.3889,2.5517,12.0833
review offering documents or marketing materials to ensure regulatory compliance.,18.0000,0.0018,3.1667,4.0000,15.7778,15.8889,4.1806,17.0556
"review operating practices and procedures to determine whether improvements can be made in areas such as workflow, reporting procedures, or expenditures.",319.0000,0.0319,3.3887,4.0000,14.6144,14.8527,4.3914,19.8887
review operational records and reports to project sales and determine profitability.,18.0000,0.0018,3.0000,3.0000,12.6667,13.0000,2.9278,10.4444
review or evaluate proposals or bids to make recommendations regarding awarding of contracts.,33.0000,0.0033,3.3939,4.0000,14.1818,14.2424,3.6809,13.9697
review or transmit images and information using picture archiving or communications systems.,16.0000,0.0016,3.0625,3.0000,13.5000,12.0000,1.5863,7.8750
"review or update web page content or links in a timely manner, using appropriate tools.",228.0000,0.0228,2.9825,3.0000,11.4956,11.7456,2.1282,10.7226
review papers for colleagues and scientific journals.,86.0000,0.0086,3.6163,4.0000,16.2209,16.5814,3.5256,15.9884
review papers for publication in journals.,206.0000,0.0206,3.6117,4.0000,17.1456,17.2573,4.4405,17.9927
"review papers or serve on editorial boards for scientific journals, and review grant proposals for federal agencies.",288.0000,0.0288,3.5035,4.0000,16.3715,16.6181,4.8880,21.2969
"review papers or serve on editorial boards for scientific journals, and review grant proposals for various agencies.",536.0000,0.0536,3.4739,4.0000,16.6287,16.8153,4.8662,20.2901
"review patients' dietary restrictions, food allergies, and preferences to ensure patient receives appropriate diet.",21.0000,0.0021,3.2381,3.0000,9.0000,8.3333,0.4929,4.7857
"review performer information, such as photos, resumes, voice tapes, videos, and union membership, to decide whom to audition for parts.",23.0000,0.0023,3.5217,4.0000,9.0000,8.0435,0.9070,5.5870
review physician's referral and patient's medical records to help determine diagnosis and physical therapy treatment required.,15.0000,0.0015,3.1333,3.0000,14.1333,14.2667,1.9553,15.9000
"review plans for new construction with clients, enumerating and recommending available options and features.",15.0000,0.0015,3.2000,4.0000,11.4000,12.1333,1.5500,14.6333
review procedures in database management system manuals for making changes to database.,323.0000,0.0323,3.2632,3.0000,14.3344,14.4582,1.1433,11.3498
"review program specifications or blueprints to determine and set machine operations and sequencing, finished workpiece dimensions, or numerical control sequences.",19.0000,0.0019,3.1053,3.0000,12.1053,12.3158,2.4753,8.7632
"review project activities and prepare and review research, testing, or operational reports.",54.0000,0.0054,3.0000,3.0000,13.8519,14.0370,3.7422,12.8333
review project plans to plan and coordinate project activity.,29.0000,0.0029,3.4138,4.0000,13.4828,13.6897,5.7845,12.6724
"review property listings, trade journals, and relevant literature, and attend conventions, seminars, and staff and association meetings to remain knowledgeable about real estate markets.",74.0000,0.0074,3.3378,4.0000,12.2162,11.6486,2.5723,9.0541
"review proposed study protocols to evaluate factors such as sample collection processes, data management plans, and potential subject risks.",58.0000,0.0058,3.1379,3.0000,16.5517,16.6034,3.8172,13.5431
"review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding.",573.0000,0.0573,3.6510,4.0000,12.6265,12.1204,4.4901,21.5899
"review records for completeness, accuracy, and compliance with regulations.",76.0000,0.0076,3.0132,3.0000,15.1842,14.9079,3.0118,14.5395
review records or reports for clarity and completeness and maintain records or reports as required under federal law.,29.0000,0.0029,2.7241,3.0000,14.5172,14.4483,2.4603,16.7241
review rents to ensure that they are in line with rental markets.,36.0000,0.0036,3.0833,3.0000,12.0833,12.1944,2.0375,10.8750
review reports of securities transactions or price lists to analyze market conditions.,115.0000,0.0115,3.3391,3.0000,12.6696,12.1913,1.6273,6.4717
review reports of suspected fraud to determine need for further investigation.,32.0000,0.0032,3.5000,4.0000,9.7812,9.6562,1.0109,6.7031
review research literature to remain current on psychological science issues.,51.0000,0.0051,3.3529,4.0000,16.6275,17.0392,4.0078,17.5686
"review research or literature in art therapy, psychology, or related disciplines.",83.0000,0.0083,3.6386,4.0000,16.0964,15.8554,4.5482,16.1205
"review scientific literature, participate in continuing education activities, or attend conferences and seminars to maintain current knowledge of clinical studies affairs and issues.",20.0000,0.0020,3.0500,3.0000,15.4000,15.7000,4.3200,10.8000
review scientific proposals and research papers.,144.0000,0.0144,3.5000,4.0000,16.7708,16.9375,5.2301,20.6389
"review scripts or other production information to determine a story's locale or period, as well as the number of characters and required costumes.",41.0000,0.0041,3.7317,4.0000,10.1707,9.7317,1.7293,13.2073
review sets of photographs to select the best work.,58.0000,0.0058,3.8621,4.0000,11.0517,10.2931,2.1879,12.3793
"review software documentation to ensure technical accuracy, compliance, or completeness, or to mitigate risks.",3799.0000,0.3799,3.3438,4.0000,13.8697,14.0969,3.3373,14.4514
review technical documents to ensure completeness and conformance to requirements.,27.0000,0.0027,3.5185,4.0000,13.4074,13.1481,3.1759,14.2963
"review time sheets, work charts, wage computation, and other information to detect and reconcile payroll discrepancies.",27.0000,0.0027,2.9259,3.0000,12.0000,12.0741,1.5926,11.7222
review work orders and procedural manuals and confer with vendors and design staff to resolve problems and modify design.,19.0000,0.0019,2.6842,3.0000,14.1053,14.1579,4.8316,14.1842
"review work orders, blueprints, specifications, or job samples to determine components, settings, and adjustments for cutting and slicing machines.",15.0000,0.0015,3.4000,4.0000,11.6000,10.2000,1.8100,9.1333
"review written, audio, or video copy and correct errors in content, grammar, or punctuation, following prescribed editorial style and formatting guidelines.",466.0000,0.0466,3.2918,4.0000,9.9142,10.0043,2.2639,14.4614
"review, approve, or interpret genetic laboratory results.",64.0000,0.0064,3.5156,4.0000,15.7969,15.5625,4.3859,18.0547
"review, classify, and record survey data in preparation for computer analysis.",390.0000,0.0390,2.5564,2.0000,9.1872,10.4462,1.2712,7.6346
"review, evaluate, and approve specifications for issuing and awarding bids.",43.0000,0.0043,3.0930,3.0000,13.5349,14.3488,4.0623,13.9070
"review, recommend, or approve contracts or cost estimates.",28.0000,0.0028,3.1429,3.5000,15.5357,15.7857,3.5714,16.3393
revise company definition of data as defined in data dictionary.,15.0000,0.0015,2.8667,3.0000,13.4667,14.2667,3.1567,12.5333
"revise programs or tapes to eliminate errors, and retest programs to check that problems have been solved.",913.0000,0.0913,3.5301,4.0000,14.2092,14.2377,2.0399,16.6900
revise work to meet editorial approval or to fit time or space requirements.,64.0000,0.0064,2.9688,3.0000,12.5781,12.9531,2.1867,16.4141
"revise written material to meet personal standards and to satisfy needs of clients, publishers, directors, or producers.",78.0000,0.0078,2.9744,3.0000,12.5513,12.9744,2.0201,14.2244
"rewrite original musical scores in different musical styles by changing rhythms, harmonies, or tempos.",35.0000,0.0035,3.2857,3.0000,10.7429,11.0571,3.2686,17.0571
"sample and test air to identify gasses, such as bromine, ozone, or sulfur dioxide, or particulates, such as mold, dust, or allergens.",44.0000,0.0044,3.3409,3.0000,10.5455,9.8182,1.3773,11.1591
"schedule and confirm appointments for clients, customers, or supervisors.",69.0000,0.0069,2.5507,2.0000,8.2899,8.9130,0.4622,10.0543
schedule and make appointments.,28.0000,0.0028,2.8214,3.0000,9.0000,9.2500,0.2007,3.5536
schedule appointments and maintain and update appointment calendars.,56.0000,0.0056,2.7857,3.0000,8.3750,8.4107,0.1839,4.0982
schedule appointments for patients.,30.0000,0.0030,2.9000,3.0000,9.0333,8.9333,0.9360,7.4500
"schedule events and organize details, including refreshment, entertainment, decorations, and the collection of any fees.",30.0000,0.0030,3.6333,4.0000,9.0667,8.8333,4.0517,16.2333
schedule space or equipment for special programs and prepare lists of participants.,41.0000,0.0041,3.0488,3.0000,9.5610,10.5854,1.3049,10.3171
"schedule special events such as camps, conferences, meetings, seminars, or retreats.",65.0000,0.0065,3.6923,4.0000,8.6000,8.3385,3.6023,16.2462
"script, plan, and create animated narrative sequences under tight deadlines, using computer software and hand drawing techniques.",33.0000,0.0033,3.3030,3.0000,10.3333,10.5758,3.6197,15.6818
"search electronic sources, such as databases or repositories, or manual sources for information.",2167.0000,0.2167,3.2077,3.0000,11.9271,12.0138,2.3455,6.8488
search for and examine public and other legal records to write opinions or establish ownership.,20.0000,0.0020,2.6500,3.0000,12.2000,12.4500,0.8725,6.0000
"search for specific sets of stored, typed characters to make changes.",89.0000,0.0089,2.8315,3.0000,11.3146,11.3708,0.8583,6.7753
"search public records for transactions such as sales, leases, and assessments.",34.0000,0.0034,3.0588,3.0000,11.9118,10.9412,1.5006,8.7353
search scientific literature to select and modify methods and procedures most appropriate for genetic research goals.,117.0000,0.0117,3.2650,3.0000,16.8718,17.1453,4.8782,13.4145
"search standard reference materials, including online sources and the internet, to answer patrons' reference questions.",1280.0000,0.1280,3.1289,3.0000,11.7078,11.8117,1.6914,6.6611
seek and provide information to help companies determine their position in the marketplace.,506.0000,0.0506,3.3300,4.0000,11.4486,11.3083,2.7281,6.6625
seek out and learn new music suitable for live performance or recording.,51.0000,0.0051,3.4902,4.0000,8.8627,8.0980,1.0624,5.4804
seek out new clients and develop clientele by networking to find new customers and generate lists of prospective clients.,42.0000,0.0042,3.3333,3.5000,12.3333,12.7143,3.6786,15.5000
"select and apply cosmetic products such as creams, lotions, and tonics.",16.0000,0.0016,3.8125,4.0000,8.2500,7.8125,1.3438,13.3438
"select and assemble books, materials, supplies, and equipment for training, courses, or projects.",127.0000,0.0127,3.3543,4.0000,11.3780,11.7795,3.5189,9.3740
select and combine the most effective shots of each scene to form a logical and smoothly running story.,23.0000,0.0023,3.5217,4.0000,10.8696,9.8696,3.8435,16.8261
"select and edit documents for publication and display, applying knowledge of subject, literary expression, and presentation techniques.",1913.0000,0.1913,3.4271,4.0000,10.6895,10.6937,3.7600,17.7258
select and obtain materials and supplies such as textbooks.,106.0000,0.0106,3.1226,3.0000,11.1604,11.6415,2.0179,7.8160
"select and order tile and other items to be installed, such as bathroom accessories, walls, panels, and cabinets, according to specifications.",17.0000,0.0017,3.4706,4.0000,8.5882,7.8824,1.0459,10.2941
select and purchase lumber and hardware necessary for set construction.,61.0000,0.0061,3.5246,4.0000,9.0492,7.7377,1.8221,11.7541
"select and purchase technical web services, such as web hosting services, online merchant accounts, shopping cart software, payment gateway software, or spyware.",76.0000,0.0076,3.3816,4.0000,10.5921,10.1316,2.1714,12.8355
"select and use laboratory, operational, or diagnostic techniques or test equipment to assess electromechanical circuits, equipment, processes, systems, or subsystems.",57.0000,0.0057,3.4386,4.0000,12.8596,13.1754,2.0726,14.3158
select cartographic elements needed for effective presentation of information.,35.0000,0.0035,3.5714,4.0000,10.4857,10.2571,2.6986,11.4000
"select electromechanical equipment, materials, components, or systems to meet functional specifications.",36.0000,0.0036,3.6667,4.0000,10.8889,10.5556,1.4925,9.9861
"select electronics equipment, components, or systems to meet functional specifications.",72.0000,0.0072,3.6389,4.0000,14.0417,13.9722,4.2556,18.5000
"select material most pertinent to presentation, and organize this material into appropriate formats.",147.0000,0.0147,3.4490,4.0000,12.5646,13.0544,2.7480,10.7381
"select materials for use based on strength, color, texture, balance, weight, size, malleability and other characteristics.",17.0000,0.0017,3.5882,4.0000,11.5294,11.2941,1.0812,10.8529
"select methods, techniques, or criteria for data warehousing evaluative procedures.",21.0000,0.0021,3.8095,4.0000,14.5714,14.6667,4.2833,15.7857
"select or assist customers in selecting products based on customer needs, product specifications, and applicable regulations.",212.0000,0.0212,3.4104,4.0000,8.5377,7.9717,1.3759,8.9646
"select photographs, drawings, sketches, diagrams, and charts to illustrate material.",141.0000,0.0141,3.3759,4.0000,9.4681,9.1206,2.4305,12.2961
select plays or scripts for production and determine how material should be interpreted and performed.,35.0000,0.0035,3.8857,4.0000,10.5714,10.3143,3.6900,17.6000
"select plays, scripts, books, or ideas to be produced.",145.0000,0.0145,3.6690,4.0000,10.3655,10.0483,3.2091,12.9621
"select program content, in conjunction with producers and assistants, based on factors such as program specialties, audience tastes, or requests from the public.",268.0000,0.0268,3.6903,4.0000,8.5448,7.8657,1.1745,8.0037
"select programming languages, design tools, or applications.",22.0000,0.0022,3.6818,4.0000,12.5000,12.1818,4.7236,11.6818
"select qualified job applicants or refer them to managers, making hiring recommendations when appropriate.",137.0000,0.0137,3.4234,4.0000,14.4307,14.8029,2.6865,16.5657
"select solar energy products, systems, or services for customers based on electrical energy requirements, site conditions, price, or other factors.",16.0000,0.0016,3.6250,4.0000,11.9375,11.6250,2.7344,17.1875
select specific investments or investment mixes for purchase by an investment fund.,177.0000,0.0177,3.5254,4.0000,14.8870,14.6667,6.8973,16.3390
select statistical tests for analyzing data.,28.0000,0.0028,3.2500,4.0000,15.1786,15.5000,1.7661,14.5714
"select the most suitable cleaning materials for different types of linens, furniture, flooring, and surfaces.",588.0000,0.0588,3.5034,4.0000,7.4082,6.5850,0.6376,6.7640
"select themes, lighting, colors, or props to be used.",20.0000,0.0020,3.5500,4.0000,10.3000,10.5000,3.3575,15.8750
"select, acquire, and maintain programs, music, films, and other needed materials and obtain legal clearances for their use as necessary.",57.0000,0.0057,3.4386,4.0000,8.4912,8.0702,1.1670,6.5877
"select, administer, score, and interpret psychological tests to obtain information on individuals' intelligence, achievements, interests, and personalities.",31.0000,0.0031,3.4516,4.0000,13.5161,13.3548,2.6306,13.2903
"sell services or equipment, such as trusts, investments, or check processing services.",16.0000,0.0016,2.7500,3.0000,11.7500,11.0625,2.3906,8.2500
"sell supplies, such as seed, feed, fertilizers, or insecticides, arranging for loans or financing as necessary.",15.0000,0.0015,3.7333,4.0000,11.9333,11.9333,5.2733,15.8667
"send, receive, and interpret coded messages.",18.0000,0.0018,3.3889,3.5000,11.4444,11.5556,1.2222,10.6111
"serve as a link between management and employees by handling questions, interpreting and administering contracts and helping resolve work-related problems.",18.0000,0.0018,3.2778,3.5000,12.5000,11.9444,2.6667,17.9167
serve as an offsite teleradiologist for facilities that do not have on-site radiologists.,19.0000,0.0019,3.6316,4.0000,10.0000,8.0000,0.4316,11.2368
serve as bankruptcy trustees or business valuators.,17.0000,0.0017,4.0000,4.0000,15.6471,14.3529,4.7206,9.8235
"serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues.",21.0000,0.0021,3.3810,4.0000,16.1905,17.0476,3.9286,16.4762
"service and repair domestic electrical or gas appliances, such as clothes washers, refrigerators, stoves, and dryers.",15.0000,0.0015,3.4667,4.0000,8.8667,7.8667,0.4667,11.9333
set prices or credit terms for goods or services based on forecasts of customer demand.,20.0000,0.0020,3.1500,3.0000,12.3000,12.2500,3.7140,12.5250
set up and adjust machines and equipment.,23.0000,0.0023,3.5217,4.0000,11.5652,11.3913,0.9348,10.5000
"set up and adjust picture projectors and screens to achieve proper size, illumination, and focus of images, and proper volume and tone of sound.",15.0000,0.0015,3.6667,4.0000,11.3333,10.9333,2.3613,10.1333
"set up and conduct chemical experiments, tests, and analyses, using techniques such as chromatography, spectroscopy, physical or chemical separation techniques, or microscopy.",170.0000,0.0170,3.2824,3.0000,14.0941,14.1412,2.7840,18.1971
"set up and operate computer editing systems, electronic titling systems, video switching equipment, and digital video effects units to produce a final product.",19.0000,0.0019,3.7895,4.0000,10.5789,9.3684,2.4000,10.0000
"set up and operate specialized or standard test equipment to diagnose, test, or analyze the performance of electronic components, assemblies, or systems.",105.0000,0.0105,3.6190,4.0000,13.3048,13.0286,2.3759,14.8429
"set up equipment for employee use, performing or ensuring proper installation of cables, operating systems, or appropriate software.",763.0000,0.0763,3.3263,3.0000,9.9069,9.5505,1.0062,12.0066
"set up, adjust, and operate audio-visual equipment, such as cameras, film and slide projectors, and recording equipment, for meetings, events, classes, seminars, and video conferences.",63.0000,0.0063,3.5238,4.0000,11.1587,10.8730,2.2783,15.6032
"set up, test, and adjust recording equipment for recording sessions and live performances.",51.0000,0.0051,3.4902,4.0000,10.7843,9.0980,1.2669,16.4412
"share information about religious issues by writing articles, giving speeches, or teaching.",827.0000,0.0827,3.4970,4.0000,10.1511,9.5042,3.2930,12.3685
share research findings by writing scientific articles or by making presentations at scientific conferences.,30.0000,0.0030,3.8000,4.0000,15.5000,15.2000,3.4267,13.6833
shop for or order food and kitchen supplies and equipment.,43.0000,0.0043,3.2791,4.0000,7.6279,7.3023,1.4500,9.7907
"simulate or model fuel cell, motor, or other system information, using simulation software programs.",19.0000,0.0019,3.7368,4.0000,14.8947,14.5263,5.3526,15.3158
"sketch rough and detailed drawings of apparel or accessories, and write specifications such as color schemes, construction, material types, and accessory requirements.",59.0000,0.0059,3.5763,4.0000,9.2203,9.2373,2.2169,11.2966
solicit and compile listings of available rental properties.,85.0000,0.0085,3.1765,3.0000,10.2000,9.7294,1.6256,7.8588
"solicit cash or in-kind donations or sponsorships from individual, business, or government donors.",46.0000,0.0046,3.2826,3.0000,12.3261,12.7826,1.8250,14.4565
solicit new business.,32.0000,0.0032,3.7188,4.0000,12.5938,13.3125,2.4938,16.1094
